RK,Player,Pos,Team,Bye,ADP,Tier,P50,P75,P90,150+,200+,250+,300+,350+,DT,OU_PassYds,OU_PassTDs,OU_RushYds,OU_RushTDs,OU_RecYds,OU_RecTDs,Odds_MostPassYds,Odds_MostPassTDs,Odds_MostRushYds,Odds_MostRushTDs,Odds_MostRecYds,Odds_MostRecTDs,PassYds,PassTDs,RushYds,RushTDs,RecYds,Rec,RecTDs,#1,Top3,Top5,Top12
105,Justin Herbert,QB,LAC,7,105,Strong,280,316,354,97.4,97.4,74.5,34.9,10.8,1.175,3600.5,24.5,300.5,,,,+2433,+2000,,,,,3601,24.5,301,1.4,,,,2.1,6.9,14.1,43.2
106,Jayden Reed,WR,GB,11,105,Speculative,158,178,198,58.2,9.0,0.5,0.0,0.0,1.126,,,,,625.5,,,,,,+15000,+12500,,,142,0.7,626,46,5.1,0.0,0.0,0.2,2.0
107,Jalen Hurts,QB,PHI,10,106,Elite,310,350,389,99.3,99.3,89.9,57.9,24.9,1.688,3225.5,22.5,400.5,8.5,,,+4500,+4000,+25000,+2000,,,3226,22.5,401,8.5,,,,6.2,18.7,30.3,65.9
108,Chig Okonkwo,TE,WAS,7,109,Good,145,168,193,43.5,7.3,0.7,0.1,0.0,1,,,,,475.5,,,,,,,,,,,,476,46,4.8,0.1,1.1,4.1,26.4
109,Aaron Jones,RB,MIN,6,109,Speculative,116,138,161,15.8,1.8,0.1,0.0,0.0,1.763,,,600.5,,,,,,+15000,+15000,,,,,601,2.3,163,22,0.7,0.0,0.0,0.1,0.4
110,Xavier Worthy,WR,KC,5,111,Speculative,164,186,206,63.9,13.9,0.9,0.1,0.0,1.144,,,,,625.5,4.5,,,,,+15000,+12500,,,165,0.8,626,54,4.5,0.0,0.1,0.3,3.4
111,Jordan Addison,WR,MIN,6,111,Speculative,146,164,184,43.5,4.0,0.1,0.0,0.0,1.043,,,,,650.5,4.5,,,,,+15000,+12500,,,51,0.3,651,47,4.5,0.0,0.0,0.1,0.4
112,Trevor Lawrence,QB,JAX,7,112,Elite,318,357,395,99.4,99.4,91.4,63.2,28.4,1.287,3775.5,25.5,,,,,+1400,+1500,,,,,3776,25.5,500,2.5,,,,7.2,21.4,34.7,70.9
113,Jordan Mason,RB,MIN,6,112,Speculative,108,128,150,9.2,1.1,0.1,0.0,0.0,1.188,,,650.5,4.5,,,,,+15000,+10000,,,,,651,4.5,53,9,0.2,0.0,0.0,0.0,0.2
114,Jacory Croskey-Merritt,RB,WAS,7,113,Speculative,83,99,115,0.4,0.1,0.0,0.0,0.0,1.123,,,550.5,,,,,,+10000,+15000,,,,,551,2.9,40,5,0.2,0.0,0.0,0.0,0.0
115,Jakobi Meyers,WR,JAX,7,115,Speculative,165,186,207,64.9,13.6,0.7,0.0,0.0,1.018,,,,,700.5,5.5,,,,,+15000,+10000,,,20,0.1,701,60,5.5,0.0,0.0,0.2,3.2
116,Matthew Golden,WR,GB,11,115,Speculative,151,170,189,50.4,5.9,0.3,0.0,0.0,1.075,,,,,625.5,,,,,,+15000,+15000,,,81,0.4,626,50,4.6,0.0,0.0,0.0,1.2
117,Dak Prescott,QB,DAL,14,117,Elite,319,359,401,99.7,99.7,91.1,64.6,29.2,1.186,4025.5,27.5,,,,,+733,+800,,,,,4026,27.5,365,1.8,,,,7.6,23.2,36.2,72.0
118,KC Concepcion,WR,CLE,11,119,Speculative,131,148,165,22.7,1.0,0.0,0.0,0.0,1,,,,,600.5,,,,,,+25000,+20000,,,,,601,48,3.9,0.0,0.0,0.0,0.2
119,Brock Purdy,QB,SF,8,120,Strong,307,346,386,99.4,99.4,88.5,55.4,23.2,1.199,3775.5,27.5,,,,,+1400,+1000,,,,,3776,27.5,362,1.8,,,,5.4,17.2,28.7,63.4
120,Brenton Strange,TE,JAX,7,120,Average,138,160,184,36.0,4.9,0.4,0.0,0.0,1,,,,,490.5,,,,,,+30000,+15000,,,,,491,45,3.5,0.0,0.7,2.8,19.6
121,Jayden Higgins,WR,HOU,8,123,Speculative,130,146,163,20.3,0.6,0.0,0.0,0.0,1,,,,,575.5,,,,,,+20000,+17500,,,,,576,45,4.5,0.0,0.0,0.0,0.1
122,Juwan Johnson,TE,NO,8,124,Good,144,166,190,42.3,6.4,0.7,0.1,0.0,1,,,,,550.5,,,,,,+25000,+20000,,,,,551,49,2.4,0.2,0.9,3.6,24.6
123,Tyrone Tracy,RB,NYG,8,124,Speculative,105,125,146,7.2,0.6,0.0,0.0,0.0,1.756,,,,,,,,,+15000,+20000,,,,,485,1.8,180,23,0.7,0.0,0.0,0.0,0.1
124,Oronde Gadsden,TE,LAC,7,125,Average,130,151,173,27.0,3.0,0.1,0.0,0.0,1,,,,,,,,,,,+25000,+17500,,,,,536,39,2.9,0.0,0.4,1.6,13.7
125,Chris Rodriguez,RB,JAX,7,125,Speculative,57,68,79,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,+25000,+15000,,,,,371,3.4,,,,0.0,0.0,0.0,0.0
126,Keaton Mitchell,RB,LAC,7,127,Speculative,91,108,125,1.1,0.1,0.0,0.0,0.0,1.4,,,,,,,,,,,,,,,369,4.7,104,13,0.4,0.0,0.0,0.0,0.0
127,Stefon Diggs,WR,FA,,129,Speculative,134,150,167,25.4,1.1,0.0,0.0,0.0,1.009,,,,,,,,,,,,,,,9,0,563,47,4.6,0.0,0.0,0.0,0.3
128,Zach Charbonnet,RB,SEA,11,132,Speculative,103,121,142,5.2,0.6,0.0,0.0,0.0,1.63,,,,,,,,,,,,,,,313,5.1,156,21,0.6,0.0,0.0,0.0,0.1
129,Romeo Doubs,WR,NE,11,133,Speculative,143,160,178,38.8,2.6,0.1,0.0,0.0,1.002,,,,,625.5,4.5,,,,,+15000,+10000,,,2,0,626,52,4.5,0.0,0.0,0.0,0.5
130,Kenyon Sadiq,TE,NYJ,13,133,Average,130,152,173,27.3,3.0,0.1,0.0,0.0,1,,,,,475.5,3.5,,,,,+25000,+20000,,,,,476,41,3.5,0.0,0.4,1.4,13.6
131,Jaxson Dart,QB,NYG,8,134,Strong,290,326,363,98.3,98.3,79.3,42.2,14.4,1.729,3150.5,19.5,450.5,6.5,,,+8000,+5000,+20000,+10000,,,3151,19.5,451,6.5,,,,2.4,9.3,17.8,50.8
132,Patrick Mahomes,QB,KC,5,134,Good,257,291,324,97.0,92.9,56.8,19.8,4.0,1.166,,,,,,,+1200,+2000,,,,,3353,21.9,283,1.4,,,,0.6,3.0,5.8,25.6
133,Hunter Henry,TE,NE,11,136,Good,144,167,192,42.4,6.9,0.7,0.1,0.0,1,,,,,500.5,4.5,,,,,+30000,+8000,,,,,501,44,4.5,0.1,1.0,3.9,24.7
134,Jalen Coker,WR,CAR,5,136,Speculative,129,146,163,20.2,0.6,0.0,0.0,0.0,1,,,,,600.5,,,,,,+20000,+20000,,,,,601,45,4.1,0.0,0.0,0.0,0.1
135,Matthew Stafford,QB,LAR,11,137,Strong,293,329,366,98.4,98.4,81.1,44.8,15.7,1.039,4000.5,30.5,,,,,+800,+600,,,,,4001,30.5,78,0.4,,,,2.7,11.2,19.8,52.9
136,Jonah Coleman,RB,DEN,10,139,Speculative,56,66,77,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,253,5,,,,0.0,0.0,0.0,0.0
137,Khalil Shakir,WR,BUF,7,140,Speculative,149,168,188,47.7,5.4,0.3,0.0,0.0,1.004,,,,,650.5,,,,,,+20000,+15000,,,4,0,651,56,4.7,0.0,0.0,0.1,0.9
138,T.J. Hockenson,TE,MIN,6,140,Average,136,158,181,34.1,4.7,0.2,0.0,0.0,1,,,,,500.5,,,,,,+30000,+20000,,,,,501,47,2.4,0.1,0.6,2.4,18.1
139,Isiah Pacheco,RB,DET,6,140,Speculative,132,156,181,30.9,5.0,0.5,0.1,0.0,1.451,,,,,,,,,,,,,,,364,8.4,158,25,0.6,0.0,0.1,0.1,1.3
140,Bo Nix,QB,DEN,10,142,Strong,294,331,367,98.4,98.4,80.8,45.4,16.1,1.277,3475.5,24.5,,,,,+2500,+2200,,,,,3476,24.5,436,2.2,,,,3.3,11.3,20.3,53.7
141,Rashid Shaheed,WR,SEA,11,142,Speculative,112,126,141,3.9,0.1,0.0,0.0,0.0,1.058,,,,,525.5,3.5,,,,,+20000,+30000,,,58,0.3,526,32,3.5,0.0,0.0,0.0,0.0
142,Greg Dulcich,TE,MIA,6,143,Speculative,95,111,127,1.1,0.0,0.0,0.0,0.0,1,,,,,400.5,,,,,,+40000,+30000,,,,,401,32,0.9,0.0,0.0,0.0,0.5
143,Tyjae Spears,RB,TEN,9,144,Average,174,206,239,63.5,29.0,7.4,1.3,0.2,2.522,,,,,,,,,,,,,,,253,6.8,402,58,1.6,0.1,0.6,1.8,12.5
144,Jared Goff,QB,DET,6,149,Strong,293,329,368,98.4,98.4,81.6,44.2,16.1,1.054,4050.5,29.5,,,,,+750,+900,,,,,4051,29.5,104,0.5,,,,2.8,11.0,19.8,52.1
145,Dalton Schultz,TE,HOU,8,149,Good,139,162,185,37.1,5.2,0.5,0.1,0.0,1,,,,,500.5,,,,,,+30000,+20000,,,,,501,50,2.4,0.0,0.9,2.6,20.1
146,Kyler Murray,QB,MIN,6,151,Average,243,273,304,97.0,85.9,43.6,11.1,1.9,1.441,2925.5,17.5,375.5,,,,+4000,+4500,+25000,+20000,,,2926,17.5,376,3,,,,0.2,1.2,2.7,15.1
147,Tyler Shough,QB,NO,8,155,Strong,284,321,356,97.7,97.7,76.4,38.1,12.2,1.297,3600.5,20.5,,,,,+1800,+4500,,,,,3601,20.5,438,2.2,,,,2.2,8.1,15.4,45.8
148,Gunnar Helm,TE,TEN,9,157,Speculative,124,144,165,20.0,1.7,0.1,0.0,0.0,1,,,,,400.5,,,,,,+30000,+25000,,,,,401,49,1.6,0.0,0.2,0.7,8.5
149,Jalen McMillan,WR,TB,10,159,Speculative,114,128,144,4.9,0.0,0.0,0.0,0.0,1.033,,,,,,,,,,,+30000,+12500,,,28,0.1,451,35,5.1,0.0,0.0,0.0,0.0
150,Antonio Williams,WR,WAS,7,164,Speculative,110,124,138,3.0,0.1,0.0,0.0,0.0,1,,,,,,,,,,,+30000,+20000,,,,,476,38,4.1,0.0,0.0,0.0,0.0
151,Baker Mayfield,QB,TB,10,166,Good,270,305,337,97.0,95.7,66.9,28.2,6.6,1.132,3550.5,25.5,,,,,+2433,+2500,,,,,3551,25.5,205,1,,,,0.9,4.3,9.1,35.0
152,Denzel Boston,WR,CLE,11,167,Speculative,113,128,142,4.8,0.1,0.0,0.0,0.0,1,,,,,500.5,,,,,,+30000,+20000,,,,,501,40,3.8,0.0,0.0,0.0,0.0
153,AJ Barner,TE,SEA,11,168,Good,143,168,193,41.5,7.5,0.7,0.1,0.0,1,,,,,,,,,,,+30000,+17500,,,,,481,52,2.9,0.1,1.1,4.1,25.4
